ID,Player,Name,T,W,Avg,Ovr,R,BBF,EC,SR,3w,5w,Mdns
26,https://scores.iplt20.com/ipl/playerimages/Mohit Sharma.png,Mohit Sharma,https://scores.iplt20.com/ipl/teamlogos/GT.png?,13,32,39,425,3/25,10,18,2,0,0
27,https://scores.iplt20.com/ipl/playerimages/Axar Patel.png,Axar Patel,https://scores.iplt20.com/ipl/teamlogos/DC.png?,11,30,44,337,2/25,7,24,0,0,0
28,https://scores.iplt20.com/ipl/playerimages/Kagiso Rabada.png,Kagiso Rabada,https://scores.iplt20.com/ipl/teamlogos/PBKS.png?,11,33,42,372,2/18,8,22,0,0,0
29,https://scores.iplt20.com/ipl/playerimages/Vaibhav Arora.png,Vaibhav Arora,https://scores.iplt20.com/ipl/teamlogos/KKR.png?,11,25,30,276,3/27,9,16,1,0,0
30,https://scores.iplt20.com/ipl/playerimages/Bhuvneshwar Kumar.png,Bhuvneshwar Kumar,https://scores.iplt20.com/ipl/teamlogos/SRH.png?,11,48,57,533,3/41,9,31,1,0,2
31,https://scores.iplt20.com/ipl/playerimages/Hardik Pandya.png,Hardik Pandya,https://scores.iplt20.com/ipl/teamlogos/MI.png?,11,35,36,387,3/31,10,19,1,0,0
32,https://scores.iplt20.com/ipl/playerimages/Yash Thakur.png,Yash Thakur,https://scores.iplt20.com/ipl/teamlogos/LSG.png?,11,36,35,402,5/30,11,19,0,1,1
33,https://scores.iplt20.com/ipl/playerimages/Rashid Khan.png,Rashid Khan,https://scores.iplt20.com/ipl/teamlogos/GT.png?,10,36,43,367,2/38,8,26,0,0,0
34,https://scores.iplt20.com/ipl/playerimages/Cameron Green.png,Cameron Green,https://scores.iplt20.com/ipl/teamlogos/RCB.png?,10,30,35,303,2/12,8,21,0,0,0
35,https://scores.iplt20.com/ipl/playerimages/Ravi Bishnoi.png,Ravi Bishnoi,https://scores.iplt20.com/ipl/teamlogos/LSG.png?,10,38,43,383,2/25,8,26,0,0,0
36,https://scores.iplt20.com/ipl/playerimages/Rahul Chahar.png,Rahul Chahar,https://scores.iplt20.com/ipl/teamlogos/PBKS.png?,10,27,31,279,3/23,9,18,1,0,0
