,ID,Match No,Name,Team1,Team1 Logo,Team2,Team2 Logo,Score1,Score2,Summary,Stadium,City,Team1_Captain,Team2_Captain
20,45,Match 46,Chennai Super Kings vs Sunrisers Hyderabad,Chennai Super Kings,https://scores.iplt20.com/ipl/teamlogos/CSK.png,Sunrisers Hyderabad,https://scores.iplt20.com/ipl/teamlogos/SRH.png,212/3 (20 overs),134 (18.5 overs),Chennai Super Kings won by 78 runs,M. A. Chidambaram Stadium,Chennai,https://scores.iplt20.com/ipl/playerimages/Ruturaj Gaikwad.png,https://scores.iplt20.com/ipl/playerimages/Pat Cummins.png
21,48,Match 49,Chennai Super Kings vs Punjab Kings,Chennai Super Kings,https://scores.iplt20.com/ipl/teamlogos/CSK.png,Punjab Kings,https://scores.iplt20.com/ipl/teamlogos/PBKS.png,162/7 (20 overs),163/3 (17.5 overs),Punjab Kings won by 7 wickets,M. A. Chidambaram Stadium,Chennai,https://scores.iplt20.com/ipl/playerimages/Ruturaj Gaikwad.png,https://scores.iplt20.com/ipl/playerimages/Shikhar Dhawan.png
22,60,Match 61,Rajasthan Royals vs Chennai Super Kings,Rajasthan Royals,https://scores.iplt20.com/ipl/teamlogos/RR.png,Chennai Super Kings,https://scores.iplt20.com/ipl/teamlogos/CSK.png,141/5 (20 overs),145/5 (18.2 overs),Chennai Super Kings won by 5 wickets,M. A. Chidambaram Stadium,Chennai,https://scores.iplt20.com/ipl/playerimages/Sanju Samson.png,https://scores.iplt20.com/ipl/playerimages/Ruturaj Gaikwad.png
23,72,Qualifier 2,Sunrisers Hyderabad vs Rajasthan Royals,Sunrisers Hyderabad,https://scores.iplt20.com/ipl/teamlogos/SRH.png,Rajasthan Royals,https://scores.iplt20.com/ipl/teamlogos/RR.png,175/9 (20 overs),139/7 (20 overs),Sunrisers Hyderabad won by 36 runs,M. A. Chidambaram Stadium,Chennai,https://scores.iplt20.com/ipl/playerimages/Pat Cummins.png,https://scores.iplt20.com/ipl/playerimages/Sanju Samson.png
24,73,Final,Sunrisers Hyderabad vs Kolkata Knight Riders,Sunrisers Hyderabad,https://scores.iplt20.com/ipl/teamlogos/SRH.png,Kolkata Knight Riders,https://scores.iplt20.com/ipl/teamlogos/KKR.png,113 (18.3 overs),114/2 (10.3 overs),Kolkata Knight Riders won by 8 wickets,M. A. Chidambaram Stadium,Chennai,https://scores.iplt20.com/ipl/playerimages/Pat Cummins.png,https://scores.iplt20.com/ipl/playerimages/Shreyas Iyer.png
25,34,Match 35,Sunrisers Hyderabad vs Delhi Capitals,Sunrisers Hyderabad,https://scores.iplt20.com/ipl/teamlogos/SRH.png,Delhi Capitals,https://scores.iplt20.com/ipl/teamlogos/DC.png,266/7 (20 overs),199 (19.1 overs),Sunrisers Hyderabad won by 67 runs,Arun Jaitley Stadium,Delhi,https://scores.iplt20.com/ipl/playerimages/Pat Cummins.png,https://scores.iplt20.com/ipl/playerimages/Rishabh Pant.png
26,39,Match 40,Delhi Capitals vs Gujarat Titans,Delhi Capitals,https://scores.iplt20.com/ipl/teamlogos/DC.png,Gujarat Titans,https://scores.iplt20.com/ipl/teamlogos/GT.png,224/4 (20 overs),220/8 (20 overs),Delhi Capitals won by 4 runs,Arun Jaitley Stadium,Delhi,https://scores.iplt20.com/ipl/playerimages/Rishabh Pant.png,https://scores.iplt20.com/ipl/playerimages/Shubman Gill.png
27,42,Match 43,Delhi Capitals vs Mumbai Indians,Delhi Capitals,https://scores.iplt20.com/ipl/teamlogos/DC.png,Mumbai Indians,https://scores.iplt20.com/ipl/teamlogos/MI.png,257/4 (20 overs),247/9 (20 overs),Delhi Capitals won by 10 runs,Arun Jaitley Stadium,Delhi,https://scores.iplt20.com/ipl/playerimages/Rishabh Pant.png,https://scores.iplt20.com/ipl/playerimages/Hardik Pandya.png
28,55,Match 56,Delhi Capitals vs Rajasthan Royals,Delhi Capitals,https://scores.iplt20.com/ipl/teamlogos/DC.png,Rajasthan Royals,https://scores.iplt20.com/ipl/teamlogos/RR.png,221/8 (20 overs),201/8 (20 overs),Delhi Capitals won by 20 runs,Arun Jaitley Stadium,Delhi,https://scores.iplt20.com/ipl/playerimages/Rishabh Pant.png,https://scores.iplt20.com/ipl/playerimages/Sanju Samson.png
29,63,Match 64,Delhi Capitals vs Lucknow Super Giants,Delhi Capitals,https://scores.iplt20.com/ipl/teamlogos/DC.png,Lucknow Super Giants,https://scores.iplt20.com/ipl/teamlogos/LSG.png,208/4 (20 overs),189/9 (20 overs),Delhi Capitals won by 19 runs,Arun Jaitley Stadium,Delhi,https://scores.iplt20.com/ipl/playerimages/Rishabh Pant.png,https://scores.iplt20.com/ipl/playerimages/KL Rahul.png
30,52,Match 53,Chennai Super Kings vs Punjab Kings,Chennai Super Kings,https://scores.iplt20.com/ipl/teamlogos/CSK.png,Punjab Kings,https://scores.iplt20.com/ipl/teamlogos/PBKS.png,167/9 (20 overs),139/9 (20 overs),Chennai Super Kings won by 28 runs,HPCA Stadium,Dharamshala,https://scores.iplt20.com/ipl/playerimages/Ruturaj Gaikwad.png,https://scores.iplt20.com/ipl/playerimages/Shikhar Dhawan.png
31,57,Match 58,Royal Challengers Bengaluru vs Punjab Kings,Royal Challengers Bengaluru,https://scores.iplt20.com/ipl/teamlogos/RCB.png,Punjab Kings,https://scores.iplt20.com/ipl/teamlogos/PBKS.png,241/7 (20 overs),181 (17 overs),Royal Challengers Bengaluru won by 60 runs,HPCA Stadium,Dharamshala,https://scores.iplt20.com/ipl/playerimages/Faf du Plessis.png,https://scores.iplt20.com/ipl/playerimages/Shikhar Dhawan.png
32,64,Match 65,Rajasthan Royals vs Punjab Kings,Rajasthan Royals,https://scores.iplt20.com/ipl/teamlogos/RR.png,Punjab Kings,https://scores.iplt20.com/ipl/teamlogos/PBKS.png,144/9 (20 overs),145/5 (18.5 overs),Punjab Kings won by 5 wickets,Assam Cricket Association Stadium,Guwahati,https://scores.iplt20.com/ipl/playerimages/Sanju Samson.png,https://scores.iplt20.com/ipl/playerimages/Shikhar Dhawan.png
